track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
6rQSrBHf7HlZjtcMZ4S4bO,Safari,1vyhD5VmyZ7KMfW5gqLgo5,J Balvin,2LYwooMTH1iJeBvWyXXWUf,205600,2016-06-24,0,0.508,0.687,0,-4.361,1,0.326,0.551,3.41e-06,0.126,0.555,180.044
0azC730Exh71aQlOt9Zj3y,This Is What You Came For,7CajNmpbOovFoOoasH2HaY,Calvin Harris,3pEgGUv379EDinvg1TN7Kt,222160,2016-04-29,82,0.631,0.927,9,-2.787,0,0.0332,0.199,0.119,0.148,0.465,123.962
4tCtwWceOPWzenK2HAIJSb,Work from Home (feat. Ty Dolla $ign),1l8Fu6IkuTP0U5QetQJ5Xt,Fifth Harmony,0pF0oyuPNdOObniB1Ng0kW,214480,2016-05-27,76,0.803,0.585,8,-5.861,1,0.0432,0.103,3.94e-06,0.0644,0.593,105.017
0prNGof3XqfTvNDxHonvdK,Scars To Your Beautiful,2wUjUUtkb5lvLKcGKsKqsR,Alessia Cara,3rDbA12I5duZnlwakqDdZa,230226,2015-11-13,13,0.573,0.739,0,-5.74,1,0.129,0.0285,0.0,0.111,0.451,97.085
7DM4BPaS7uofFul3ywMe46,Vente Pa' Ca (feat. Maluma),7slfeZO9LsJbWgpkIoXBUJ,Ricky Martin,1FkaJUwfqLdQdSmRPBlw6l,259195,2016-09-22,73,0.663,0.92,11,-4.07,0,0.226,0.00431,1.69e-05,0.101,0.533,99.935
4b4KcovePX8Ke2cLIQTLM0,All Night,7gAppWoH7pcYmphCVTXkzs,The Vamps,52bwpFP1d8uri0V5oWQLF0,197640,2017-07-14,0,0.544,0.809,8,-5.098,1,0.0363,0.0038,0.0,0.323,0.448,145.017
1D3ODoXHBLpdxolZRHWV1j,By Your Side,1HBjj22wzbscIZ9sEb5dyf,Jonas Blue,6IJVWErYhvWqG41NnLSGMM,201254,2016-10-28,0,0.696,0.743,6,-3.838,1,0.0331,0.0778,0.0,0.0581,0.644,122.978
68EMU2RD1ECNeOeJ5qAXCV,We Don't Talk Anymore (feat. Selena Gomez),6VuMaDnrHyPL1p4EHjYLi7,Charlie Puth,6E0p38TjcK490itZ1Ns7bD,217706,2015-11-05,57,0.728,0.563,1,-8.053,0,0.134,0.621,0.0,0.179,0.352,100.017
7FB8l7UA1HKqnuSLjP9qDc,Caroline,3Gm5F95VdRxW3mqCn8RPBJ,Aminé,4Yy7pSgkobZoK6bOu3PEPB,209640,2017-07-28,0,0.952,0.318,10,-10.357,1,0.467,0.174,0.0,0.205,0.665,120.077
08WPvDEsHvTFuB9w8tC2OS,Now and Later,6d47Z08T4snK50HgTEHo5Z,Sage The Gemini,6OnHUnhxRIZ4FB7ce9wF39,193181,2017-07-21,55,0.781,0.57,11,-5.874,0,0.188,0.273,0.0,0.196,0.858,107.059
6nxQdXa1uAL0rY72wPZu89,Love Me Now,5y2Xq6xcjJb2jVM54GHK3t,John Legend,7xMjYDrgPLp1ReFGAOyS1O,210293,2016-12-02,65,0.495,0.762,8,-3.842,1,0.0862,0.591,0.0,0.0763,0.708,123.893
7aV2mflaASUmGhCErm7kBO,The Mack,15NtJjjHRFybdNSMyM9smT,Nevada,7FDBvwfZD9ejQzzg0dyoac,167038,2016-09-23,0,0.707,0.883,0,-4.281,1,0.0602,0.0707,0.0,0.23,0.541,106.031
0JiVRyTJcJnmlwCZ854K4p,Alone,7vk5e3vY1uw9plTHJAMwjN,Alan Walker,4blCxKnK1sGo9D45trrqjt,161200,2016-12-02,63,0.676,0.929,10,-3.194,1,0.0458,0.186,0.000405,0.121,0.157,97.019
14WWzenpaEgQZlqPq2nk4v,Work,5pKCCKE2ajJHZ9KAiaK11H,Rihanna,2JNVoEx4psIgNQyEExwQVn,219320,2016-01-28,0,0.725,0.534,11,-6.238,1,0.0946,0.0752,0.0,0.0919,0.558,91.974
